"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Score","None","30","Right Bump","L1 Attempted","Idle","None","","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Score","Intake from Neutral Zone","30","None","Not Attempted","69d956486596dd6511f961ae","1827b8b648ed6d9ee339e8be56bacea394b40e1e88c4dbd8783ba37e29734445","","red","2026-04-10T19:58:00.702Z","2026chcmp","2026chcmp_qm22","22","","3","1","2","3","","","Slow shooter. Narrow intake. Mid robot.","Nidhish","5243","2026-04-10T19:58:00.702Z"
"Score","Idle","30","Hub","Not Attempted","Pass","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Pass","Pass","","None","Defense","Pass","","None","Score","Score","70","None","Not Attempted","69d955f86596dd6511f9619e","d1878e0fce5481d051ba03ee5efe3575fce6721a9349f80f5782d5b96ef768e9","","blue","2026-04-10T19:56:40.133Z","2026chcmp","2026chcmp_qm22","22","","","","","2","","4","Just pretty good defense ","Sai","1719","2026-04-10T19:56:40.133Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Pass","Score","80","None","Score","Score","60","None","Defense","Pass","","None","Score","Idle","10","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69d955ce6596dd6511f96197","edbe52b07987cd39506cb4eb90e52f1a8b1eb8d7940de3ffcb6ad225d0457e84","","blue","2026-04-10T19:55:58.529Z","2026chcmp","2026chcmp_qm22","22","","2","","3","3","","1","robot broke jn 4/6","Falco Carey","3748","2026-04-10T19:55:58.529Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69d954f46596dd6511f9616c","e5c03e0cfd0980c2db6f184eb614dac93ace53e73a66ca0c699e4735549dda2d","","red","2026-04-10T19:52:20.603Z","2026chcmp","2026chcmp_qm22","22","true","","","","","","","","Arihan","3136","2026-04-10T19:52:20.603Z"
"Score","None","20","Right Trench","Not Attempted","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Score","None","20","None","Not Attempted","69d954f36596dd6511f9616b","72128d83072a9e8c67353b45c4c787023d8d82cb1f6842f634c8def22fa3854f","","red","2026-04-10T19:52:19.816Z","2026chcmp","2026chcmp_qm21","21","","4","","3","2","","","Ok. Not too great but decent scoring.","Arihan","5549","2026-04-10T19:52:19.816Z"
"Intake from Neutral Zone","Score","20","Left Trench","Not Attempted","Score","None","100","None","Intake from Neutral Zone","Pass","","None","Score","None","70","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","40","None","Score","None","10","None","Not Attempted","69d9548b6596dd6511f96154","38ab57100f2afc212c94bf76a522db76e53152f3030d752479ed092e8c666463","","red","2026-04-10T19:50:35.982Z","2026chcmp","2026chcmp_qm21","21","","4","3","3","4","","","Great shooter, great strategy. Ayto kinda messed up.","Nidhish","686","2026-04-10T19:50:35.982Z"
"Intake from Neutral Zone","Score","","Right Trench","Not Attempted","Score","Score","60","None","Score","Score","100","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Not Attempted","69d9548a6596dd6511f96153","db5acc8ccfbb267b1618863bf87ddccd26e5dc23883e8f936885b3b32d7f9400","","blue","2026-04-10T19:50:34.783Z","2026chcmp","2026chcmp_qm21","21","","","","","3","","","","Sai","10004","2026-04-10T19:50:34.783Z"
"Pass","Pass","","Hub","Not Attempted","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Not Attempted","69d9540c6596dd6511f96134","256db0561f185ccfd99cf61d1f13459d23a2a36b1f21015aae467f11e5f78979","","blue","2026-04-10T19:48:28.019Z","2026chcmp","2026chcmp_qm21","21","","","2","","2","","1","chud drivetrain","Falco Carey","10679","2026-04-10T19:48:28.019Z"
"Score","None","30","Right Trench","Not Attempted","Score","None","30","None","Score","None","30","None","Score","None","30","None","Defense","None","","None","Defense","None","","None","Score","None","30","None","Not Attempted","69d952bc6596dd6511f960ee","691d2907a61fe34a163c24800c317381f01cb235d2620ee80c8340160d3c0c22","","red","2026-04-10T19:42:52.911Z","2026chcmp","2026chcmp_qm20","20","","3","","4","3","","","","Arihan","122","2026-04-10T19:42:52.911Z"
"Idle","Idle","","Left Trench","Not Attempted","Score","Score","","Moderate","Score","Score","","Moderate","Score","Score","","None","Score","Score","30","None","Score","Score","","None","Score","Score","50","None","Not Attempted","69d952b46596dd6511f960ec","99fdadf24abe01de5d6e1d93f27a60e06509af4394f893ffd299a1254edd9aad","","blue","2026-04-10T19:42:44.172Z","2026chcmp","2026chcmp_qm20","20","","3","","2","3","1","","stayed in allinc zone basically whole time","Falco Carey","619","2026-04-10T19:42:44.673Z"
"Score","Score","80","Hub","Not Attempted","Score","Score","100","None","Score","Score","80","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","Heavy","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","None","Not Attempted","69d952856596dd6511f960e9","b70e3a5bc9958c2060db8323d57ac765075db0c6129a1548b20837c20c42817a","","blue","2026-04-10T19:41:57.770Z","2026chcmp","2026chcmp_qm20","20","","5","","5","5","","","They angered the dogs, they cooked ","Sai","2106","2026-04-10T19:41:57.770Z"
"Idle","Score","40","Left Bump","Not Attempted","Intake from Neutral Zone","Pass","","None","Score","None","20","Light","Intake from Neutral Zone","Pass","","None","Score","None","40","Light","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Score","50","None","Not Attempted","69d952816596dd6511f960e8","d5c2cc5370f7064abf955480e43219470de569812a2afdc8df71cb044e933e4b","","red","2026-04-10T19:41:53.425Z","2026chcmp","2026chcmp_qm20","20","","5","3","3","4","2","","Great shooter and strategy.","Nidhish","1086","2026-04-10T19:41:53.425Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Intake from Neutral Zone","None","","None","Defense","None","","None","Idle","None","","None","Not Attempted","69d950ac6596dd6511f96090","66f008a338a405d8abc71278fbd42812c432ec2b5ed3441618ac62a7471052ad","","red","2026-04-10T19:34:04.414Z","2026chcmp","2026chcmp_qm19","19","","","","1","4","","3","Was idle most of the match. Good defence when not idle.","Nidhish","1111","2026-04-10T19:34:04.414Z"
"Score","Idle","20","Hub","Not Attempted","Intake from Neutral Zone","Pass","","None","Score","Score","30","None","Intake from Neutral Zone","Pass","","None","Intake from Neutral Zone","Pass","","None","Score","Score","30","None","Score","Score","10","None","Not Attempted","69d950966596dd6511f96083","9e7042f93ec23e3624067ab6f4a57ae05b3d963fa308fe19efdb38b4aa4af7a6","","blue","2026-04-10T19:33:42.919Z","2026chcmp","2026chcmp_qm19","19","","3","","3","3","","","","Falco Carey","11318","2026-04-10T19:33:42.919Z"
"Score","None","50","Hub","Not Attempted","Score","None","50","None","Intake from Neutral Zone","None","","None","Score","None","60","None","Pass","Intake from Neutral Zone","","None","Score","None","70","None","Score","None","60","None","Not Attempted","69d9508c6596dd6511f96082","6172c86c03247e909dc3193c7a7a445109bb6ef586f78c15e986d42a42ca8e62","","red","2026-04-10T19:33:32.158Z","2026chcmp","2026chcmp_qm19","19","","4","","3","4","","","","Arihan","2199","2026-04-10T19:33:32.250Z"
"Score","Idle","60","Left Trench","Not Attempted","Score","Score","20","None","Score","Score","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","60","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Idle","Score","10","None","Not Attempted","69d950896596dd6511f96081","c6d5ba6bb946488eaab8fec9204fb77afc9d7d66688087bddca90e0cb7c1bbff","","blue","2026-04-10T19:33:29.881Z","2026chcmp","2026chcmp_qm19","19","","","","","2","","","Got blocked by 1111","Sai","5804","2026-04-10T19:33:29.881Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Pass","Intake from Neutral Zone","","None","Pass","Intake from Neutral Zone","","None","Score","None","40","None","Pass","Intake from Neutral Zone","","None","Score","None","60","None","Score","None","90","None","Not Attempted","69d94f056596dd6511f96036","44c64ec08251ae637902e91ede179f1e80e19b0de0daab8a67b2e1e565263bad","","red","2026-04-10T19:27:01.652Z","2026chcmp","2026chcmp_qm18","18","","3","4","2","5","","","Strategic passing. Not bad shooter. ","Nidhish","2537","2026-04-10T19:27:01.652Z"
"Intake from Neutral Zone","Score","70","Right Trench","Not Attempted","Intake from Neutral Zone","Score","50","None","Score","Score","40","None","Intake from Neutral Zone","Pass","","None","Score","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Not Attempted","69d94eb96596dd6511f9602d","6fbdab022e4da3513985cca52da410d2e37955d23fd2c024afcb735a4f7ebd9e","","blue","2026-04-10T19:25:45.189Z","2026chcmp","2026chcmp_qm18","18","","3","3","3","4","","","slow bt reliabld","Falco Carey","1727","2026-04-10T19:25:45.189Z"
"Score","Score","50","Left Trench","Not Attempted","Idle","Idle","","None","Intake from Neutral Zone","Score","70","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Pass","","None","Score","Score","20","None","Not Attempted","69d94ea96596dd6511f96027","ad7611e4a664977baf74beb31a89ba9d613b8775411f4c2c031f87b3a7fba4cc","","blue","2026-04-10T19:25:29.632Z","2026chcmp","2026chcmp_qm18","18","","3","","","3","","","","Sai","3939","2026-04-10T19:25:29.632Z"
"Idle","None","","Hub","Not Attempted","Score","None","30","None","Score","None","40","None","Score","None","40","None","Score","None","30","None","Score","None","40","None","Score","None","30","None","Not Attempted","69d94ea46596dd6511f96024","eff1180548ebdc8cf57f4639479752641c8841c578fa9b4252a8e1798a4cdccd","","red","2026-04-10T19:25:23.983Z","2026chcmp","2026chcmp_qm18","18","","4","","3","3","","","Decent team. Good shooter mid intaking.","Arihan","4472","2026-04-10T19:25:23.983Z"
"Score","None","30","Hub","Not Attempted","Score","None","20","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Score","None","30","None","Not Attempted","69d94d906596dd6511f95fe4","8659ceadc3b629867cb84dca6e2eefab601a21e286d67a38f34dcee115aa6448","","red","2026-04-10T19:20:48.153Z","2026chcmp","2026chcmp_qm17","17","","3","","3","3","","","They were okay. All around mid.","Arihan","4541","2026-04-10T19:20:48.153Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Pass","None","","None","Pass","None","","None","Score","None","10","Light","Intake from Neutral Zone","None","80","Moderate","Idle","None","","Moderate","Idle","None","","Heavy","Not Attempted","69d94cfc6596dd6511f95fc4","d333329c154d208fa980cce343e3d7c6b35a8d5681604be3e5b1d241095b4102","","red","2026-04-10T19:18:20.541Z","2026chcmp","2026chcmp_qm17","17","","4","3","3","3","1","","Not bad. Defence played on them. Good shooter anf strategy.","Nidhish","401","2026-04-10T19:18:20.541Z"
"Idle","Idle","","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Idle","Idle","","None","Defense","Defense","","None","Defense","Defense","","None","Idle","Idle","","None","Not Attempted","69d94cb36596dd6511f95fbc","5015c086b752099d02d144d8f34f2ebf49510e49372d874b85e7c7ec2f7120fd","","blue","2026-04-10T19:17:07.698Z","2026chcmp","2026chcmp_qm17","17","","3","1","2","4","","3","what even happened?","Falco Carey","1629","2026-04-10T19:17:07.698Z"
"Idle","Idle","","Left Trench","Not Attempted","Score","Score","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","","None","Idle","Idle","","None","Score","Score","","None","Not Attempted","69d94cb16596dd6511f95fbb","1a2cb2eb9c6f44ab88845fcc9e7fd0349b9871d8dad819fa0eb1291be1c0d8a3","","blue","2026-04-10T19:17:05.611Z","2026chcmp","2026chcmp_qm17","17","","1","","1","1","","","God awful","Sai","9033","2026-04-10T19:17:05.611Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69d94b0c6596dd6511f95f63","14aabd44a6ae0d69277cb3f54d7bf9a1483452b5b4b01409e8716be666eb0e93","","red","2026-04-10T19:10:04.535Z","2026chcmp","2026chcmp_qm16","16","","","","","3","","3","Mid.","Arihan","8590","2026-04-10T19:10:04.535Z"
"Pass","Score","80","Left Trench","Not Attempted","Score","Intake from Neutral Zone","70","None","Score","Intake from Neutral Zone","30","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","50","None","Intake from Neutral Zone","Pass","","None","Score","Score","80","None","Not Attempted","69d94acc6596dd6511f95f51","81e7a0c399106456941e9ed94002a3e523ee7f05f217571f5f28ce47c254e384","","blue","2026-04-10T19:09:00.788Z","2026chcmp","2026chcmp_qm16","16","","3","4","3","3","","","jittery movement towards the end and a jittery turret aswell","Falco Carey","2377","2026-04-10T19:09:01.032Z"
"Intake from Neutral Zone","Score","80","Right Trench","Not Attempted","Score","None","100","None","Pass","None","","None","Score","None","90","None","Pass","Intake from Neutral Zone","","None","Score","None","80","Moderate","Score","None","90","None","Not Attempted","69d94ab56596dd6511f95f4f","eedec1dddbdce388c9cf56bacf0c867960415b52179ae0ea3ff75ff356bbe45d","","red","2026-04-10T19:08:37.268Z","2026chcmp","2026chcmp_qm16","16","","5","4","4","4","2","","Amazing.","Nidhish","11415","2026-04-10T19:08:37.268Z"
"Idle","Idle","","Right Trench","Not Attempted","Idle","Idle","","None","Score","Score","10","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69d94aab6596dd6511f95f4e","af56acd72d9bc41c74c99726cb889b53f467cc350e88c876654ae8ea6b856b9b","","blue","2026-04-10T19:08:27.225Z","2026chcmp","2026chcmp_qm16","16","","","","","2","","","","Sai","5724","2026-04-10T19:08:27.225Z"
"Idle","Idle","","Hub","L1 Attempted","Score","Score","","None","Score","Score","20","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","60","None","Intake from Neutral Zone","Idle","","None","Score","Score","30","None","Not Attempted","69d948ce6596dd6511f95ede","50e573437272ee54c764c71d7392992a78a3540db43396e522519326e2e640cf","","blue","2026-04-10T19:00:30.236Z","2026chcmp","2026chcmp_qm15","15","","","","","2","","","Cool they attempted a climb ","Sai","5243","2026-04-10T19:00:30.236Z"
"Score","None","30","Right Trench","Not Attempted","Score","None","30","None","Idle","None","30","None","Score","None","30","None","Idle","None","","None","Score","None","30","None","Score","None","30","None","Not Attempted","69d948c86596dd6511f95edc","ef7393aff7591a29e64f4c4a1345effc64e547250f23bdb56ccd7365d4301697","","red","2026-04-10T19:00:24.034Z","2026chcmp","2026chcmp_qm15","15","","3","","3","3","","","","Arihan","3136","2026-04-10T19:00:24.063Z"
"Score","Idle","10","Hub","Not Attempted","Pass","Pass","","None","Pass","Defense","","None","Defense","Defense","","None","Defense","Pass","","None","Pass","Pass","","None","Pass","Pass","","None","Not Attempted","69d948c46596dd6511f95edb","4499bad74dfebc0e083eff5b275f0ea5e4c5e48254010228da144ff848d92afc","","blue","2026-04-10T19:00:20.634Z","2026chcmp","2026chcmp_qm15","15","","1","","","2","","2","intake don’t work + tank drive ","Falco Carey","11425","2026-04-10T19:00:20.634Z"
"Intake from Neutral Zone","Score","40","Left Trench","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Score","None","50","None","Intake from Neutral Zone","Idle","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69d9489c6596dd6511f95ed7","ecf285dd078ec710b7b5e2c88b90fbca8fc82d61de572964edcdebabc514a745","","red","2026-04-10T18:59:40.177Z","2026chcmp","2026chcmp_qm15","15","","4","2","3","3","","","Good","Nidhish","888","2026-04-10T18:59:40.177Z"
"Idle","Idle","","Left Trench","Not Attempted","Defense","Defense","","None","Pass","Pass","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Not Attempted","69d947046596dd6511f95e7c","5de57e1ad668c392da27411f97fa31e7e730a144f2456343ce7bf8bc9d89043e","","blue","2026-04-10T18:52:52.085Z","2026chcmp","2026chcmp_qm14","14","","","","","3","","3","Not bad defense 
","Sai","10679","2026-04-10T18:52:52.085Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Idle","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Score","Score","40","None","Not Attempted","69d947016596dd6511f95e7b","ce3679b6e0a12b33ed451c27d42058aa65d38d0355fb510c2151606a50a4cfb3","","blue","2026-04-10T18:52:49.095Z","2026chcmp","2026chcmp_qm14","14","","3","","4","4","","","pretty good double shooter kinda slow though","Falco Carey","620","2026-04-10T18:52:49.095Z"
